INFLUENCER,Brands,ER(%),Trend
SOMYA GUPTA ,Nyx lipstick,45,Flip Shoe Trend
MALVIKA SITLANI ARYAN ,Smashbox Cosmetics,47,#reddotchallenge
KOMAL PANDEY, Olay India,50,Fashion Therapy
KRITIKA KHURANA,DateTheRamp,39,Ready for Cocktail
NILAM PARMAR,Derma Essentia,45,#Mobileshaala
ROSHNI BHATIA,LIVA Fluid Fashion ,41,Dupatta draping styles
SIDDHARTH BATRA ,OkCupid India ,40,Redefining Masculinity
POOJA MUNDHRA,NIVEA India ,52,No Mirror Makeup challenge
KARRON S DHINGGRA,jACK & JONES,47,Skin Care Mistakes
ISHANI MITRAA,Océglōw,32,2 Ways to do a CAT EYELINER
LARISSA D'SA,Forevermark,43,DIY
SIDDHARTH BATRA,Dior Parfums,40,homemade masks & Beauty Basics
CHERRY JAIN,Forever21,47,"3 PRINTS, 3 STYLES"
AASHNA HEGDE,Garnier India,50,damnfam
BARKHA SINGH,Olay India ,70,#GetThemTalking
KRITIKA KHURANA,DateTheRamp,45,Kritika’s 24 festive outfit ideas!
SAMANTHA AKKINENI, OZiva Nutrition,53,Eat Healthy! Stay Healthy
SOMYA GUPTA ,Glamglow,45,Flip Shoe Trend
MALVIKA SITLANI ARYAN ,nykaa,47,#reddotchallenge
KOMAL PANDEY,Zara,50,Fashion Therapy
KRITIKA KHURANA, Zara,39,Ready for Cocktail
NILAM PARMAR,Whisper India,45,#Mobileshaala
ROSHNI BHATIA, Frontier Raas,41,Dupatta draping styles
SIDDHARTH BATRA ,Ray-Ban,40,Redefining Masculinity
POOJA MUNDHRA,Schwarzkopf Professional,52,No Mirror Makeup challenge
KARRON S DHINGGRA,Nykaa Man,47,Skin Care Mistakes
ISHANI MITRAA,Zara,32,2 Ways to do a CAT EYELINER
LARISSA D'SA,Zara,43,DIY
SIDDHARTH BATRA,SocialGOAT ,40,homemade masks & Beauty Basics
CHERRY JAIN,Zara,47,"3 PRINTS, 3 STYLES"
AASHNA HEGDE,Pond’s,50,damnfam
BARKHA SINGH,Nescafe India,70,#GetThemTalking
KRITIKA KHURANA,Zara,45,Kritika’s 24 festive outfit ideas!
SAMANTHA AKKINENI,Mrunali Rao,53,Eat Healthy! Stay Healthy
SOMYA GUPTA ,Mamaearth,45,Flip Shoe Trend
MALVIKA SITLANI ARYAN , Venus India ,47,#reddotchallenge
KOMAL PANDEY,Nish Hair Extensions,50,Fashion Therapy
KRITIKA KHURANA,Faabiiana,39,Ready for Cocktail
NILAM PARMAR,Derma Essentia,45,#Mobileshaala
ROSHNI BHATIA,Lakme India,41,Dupatta draping styles
SIDDHARTH BATRA ,Falguni Shane Peacock India ,40,Redefining Masculinity
POOJA MUNDHRA,Derma Essentia,52,No Mirror Makeup challenge
KARRON S DHINGGRA,Schwarzkopf,47,Skin Care Mistakes
ISHANI MITRAA,Lakme India,32,2 Ways to do a CAT EYELINER
LARISSA D'SA,Itsy Bitsy ,43,DIY
SIDDHARTH BATRA,Uniqlo,40,homemade masks & Beauty Basics
CHERRY JAIN,Knick Knack Nook,47,"3 PRINTS, 3 STYLES"
AASHNA HEGDE,AJIO ,50,damnfam
BARKHA SINGH,Dyson Corrale,70,#GetThemTalking
KRITIKA KHURANA,Amama ,45,Kritika’s 24 festive outfit ideas!
SAMANTHA AKKINENI,Vithaldas Zaveri Jewellers,53,Eat Healthy! Stay Healthy
SOMYA GUPTA ,Alan Truman,45,Flip Shoe Trend
MALVIKA SITLANI ARYAN ,Maybelline,47,#reddotchallenge
KOMAL PANDEY,Amazon Fashion India,50,Fashion Therapy
KRITIKA KHURANA,Kanika,39,Ready for Cocktail
ROSHNI BHATIA,Louis Vuitton ,41,Dupatta draping styles
SIDDHARTH BATRA ,Maybelline,40,Redefining Masculinity
POOJA MUNDHRA,Colgate India,52,No Mirror Makeup challenge
KARRON S DHINGGRA,AXE,47,Skin Care Mistakes
ISHANI MITRAA,Maybelline,32,2 Ways to do a CAT EYELINER
LARISSA D'SA,Tanvi,43,DIY
SIDDHARTH BATRA,Maybelline,40,homemade masks & Beauty Basics
CHERRY JAIN, FabAlley,47,"3 PRINTS, 3 STYLES"
AASHNA HEGDE,Raj Gharana,50,damnfam
BARKHA SINGH, Johnnie Walker India,70,#GetThemTalking
KRITIKA KHURANA, MyGlamm,45,Kritika’s 24 festive outfit ideas!
SAMANTHA AKKINENI,Samsung,53,Eat Healthy! Stay Healthy
SOMYA GUPTA ,L’Oréal India,45,Flip Shoe Trend
MALVIKA SITLANI ARYAN ,Myntra,47,#reddotchallenge
KOMAL PANDEY,Kalakaari,50,Fashion Therapy
KRITIKA KHURANA,Myntra,39,Ready for Cocktail
ROSHNI BHATIA,"House of Tuhina,",41,Dupatta draping styles
SIDDHARTH BATRA ,Ralph Lauren,40,Redefining Masculinity
POOJA MUNDHRA,Lakme India ,52,No Mirror Makeup challenge
KARRON S DHINGGRA,Amazon Fashion India,47,Skin Care Mistakes
ISHANI MITRAA,Plum BodyLovin’ ,32,2 Ways to do a CAT EYELINER
LARISSA D'SA,The Cape Goa,43,DIY
SIDDHARTH BATRA,Ralph Lauren,40,homemade masks & Beauty Basics
CHERRY JAIN,BIBA,47,"3 PRINTS, 3 STYLES"
AASHNA HEGDE,Kausha Lodaliya ,50,damnfam
BARKHA SINGH,Alexa on Amazon India,70,#GetThemTalking
KRITIKA KHURANA,Myntra,45,Kritika’s 24 festive outfit ideas!
SAMANTHA AKKINENI,Myntra,53,Eat Healthy! Stay Healthy
AJAY DEVGAN,VKC Textiles,50,
KARLIE KLOSS,Versace,60,
KARLIE KLOSS,Calvin Klein,60,
KARLIE KLOSS,Addidas,60,
KARLIE KLOSS,Carolina Herrera,60,
KARLIE KLOSS,Dior Parfums,60,
KARLIE KLOSS,Swarovski,60,
KRITI SANON,Bata,70,
KRITI SANON,Titan,60,
KRITI SANON,Joy,60,
KRITI SANON,Himalaya,70,
SHAHID KAPOOR,Brut,75,
SHAHID KAPOOR,Reebok,55,
SHAHID KAPOOR,Tommy Hilfiger,60,
CAMERON DIAZ,Avenue,60,
CAMERON DIAZ,Calvin Klein,60,
CAMERON DIAZ,Tag Heuer,60,
ANGELINA JOLIE,Mac,70,
RISHABH PANT,BoAt,75,
RISHABH PANT,BoAt,75,
RISHABH PANT,BoAt,75,
R.ASHWIN,Aristocrat’s bags,65,
R.ASHWIN,Bombay Shaving Company,65,
R.ASHWIN,Ramraj Linen Shirts,65,
SALENA GOMEZ,Addidas,80,
SALENA GOMEZ,Pantene,80,
SALENA GOMEZ,Puma,80,
GIGI HADID,Reebok,65,
GIGI HADID,Vogue,65,
GIGI HADID,Tommy Hilfiger,65,
KYLE JENNER,Kylie Cosmetics,90,
KYLE JENNER,Calvin Klein,90,
KYLE JENNER,Addidas,90,
KYLE JENNER,Puma,90,
BEYONCE,Loreal Paris,85,
BEYONCE,Tommy Hilfiger,85,
BEYONCE,H&M,85,
BEYONCE,Emporio Armani,85,
SHREYAS IYER,Manyavar,75,
SHREYAS IYER,BoAt,75,
KATRINA KAIF,Titan,70,
KATRINA KAIF,Reebok,70,
HRITIK ROSHAN,HRX,90,
HRITIK ROSHAN,Arrow,90,
PRIYANKA CHOPRA,Pantene,70,
ALIA BHATT,Maybelline,75,
ALIA BHATT,Manyavar,75,
VIRAT KOHLI,Puma,90,
VIRAT KOHLI,Himalaya,90,
VIRAT KOHLI,Philips,90,
SALMAN KHAN,Real me,60,
VARUN DHAWAN,Pond’s,70,
VARUN DHAWAN,Reebok,70,
VARUN DHAWAN,FBB,70,
VARUN DHAWAN,LUX COZI,60,
